id,name,image,url
1,Python-разработчик,,https://practicum.yandex.ru/backend-developer/
2,Фронтенд-разработчик,,https://practicum.yandex.ru/frontend-developer/
3,Аналитик данных,,https://practicum.yandex.ru/data-analyst/
4,Графический дизайнер,,https://practicum.yandex.ru/graphic-designer/
5,Веб-дизайнер,,https://practicum.yandex.ru/web-designer/
6,Менеджер проектов,,https://practicum.yandex.ru/project-manager/
7,IT-рекрутер,,https://practicum.yandex.ru/it-recruiter/
8,Интернет-маркетолог,,https://practicum.yandex.ru/internet-marketing-start/
